statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0813REGI;Region Ostwürttemberg;452662;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0823REGI;Region Nordschwarzwald;617866;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0811REGI;Region Stuttgart;2764300;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0821REGI;Region Karlsruhe;1046800;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0831REGI;Region Südlicher Oberrhein;1113406;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0822REGI;Region Rhein-Neckar;1174931;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0842REGI;Region Donau-Iller;537550;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0832REGI;Region Schwarzwald-Baar-Heuberg;499221;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0812REGI;Region Heilbronn-Franken;934653;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0843REGI;Region Bodensee-Oberschwaben;644073;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0833REGI;Region Hochrhein-Bodensee;701683;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0812REGI;Region Heilbronn-Franken;935578;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0822REGI;Region Rhein-Neckar;1170886;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0832REGI;Region Schwarzwald-Baar-Heuberg;495938;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0831REGI;Region Südlicher Oberrhein;1124663;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0842REGI;Region Donau-Iller;533299;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2022-12-31;REGI;Regionen;0812REGI;Region Heilbronn-Franken;927329;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0841REGI;Region Neckar-Alb;720355;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0821REGI;Region Karlsruhe;1052932;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0843REGI;Region Bodensee-Oberschwaben;643691;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2024-12-31;REGI;Regionen;0811REGI;Region Stuttgart;2779310;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0833REGI;Region Hochrhein-Bodensee;700386;Anzahl;BEVSTD;Bevölkerungsstand
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;2023-12-31;REGI;Regionen;0823REGI;Region Nordschwarzwald;618047;Anzahl;BEVSTD;Bevölkerungsstand
11111;Feststellung des Gebietsstands;STAG;Stichtag;2024-12-31;KRSI;Kreise;08226KRSI;Rhein-Neckar-Kreis, Landkreis;526;EW/km²;FLC106;Bevölkerungsdichte
